account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
RepDanCrenshaw,0.245283,212,1,525932,master only (1),1.646575559,
AmritaRao,0.245098,102,1,878939,master only (1),-0.363136422,
ThatKevinSmith,0.244856,486,1,3193198,master only (1),-2.35523209,
haveigotnews,0.24375,320,1,651204,master only (1),0,
ShehzadRoy,0.2429907,214,1,831815,master only (1),0.607263009,
smh,0.2420575,2644,1,810351,master only (1),0.593383134,
MBuhari,0.2419355,62,1,2970896,master only (1),0,
KumarSanga2,0.2413793,116,1,1417434,master only (1),-0.225442354,
LouDobbs,0.2411261,817,1,2172363,master only (1),1.739643267,
EvanHD,0.2403101,129,1,506057,master only (1),0.721744058,
piacayetano,0.24,200,1,635071,master only (1),0.324849293,
Yamiche,0.2393488,2887,1,883859,master only (1),1.024187144,
NMenonRao,0.2379808,416,1,1405243,master only (1),0.65097885,
ChefKunalKapur,0.2368421,76,1,2138242,master only (1),-0.059887557,
2morrowknight,0.2361111,144,1,843945,master only (1),-0.969279598,
SadiqKhan,0.2337483,2169,1,1090840,master only (1),0.122190643,
yawazobiafm,0.2336182,702,1,715992,master only (1),0.819545636,
MrKRudd,0.2327586,232,1,1540009,master only (1),1.102702396,
iamyusufpathan,0.2325581,43,1,1127282,master only (1),0,
the_speakmans,0.2325581,258,1,674255,master only (1),0.718384654,
Ali_Nejad,0.2307692,13,1,763231,master only (1),0.180037091,
CollChris,0.2307692,39,1,743391,master only (1),1.22107211,
EmmaWatson,0.2307692,39,1,29155184,matched (3),-1.052775007,
RonnieScrewvala,0.2307692,247,1,2129442,master only (1),0.764459226,
FabrizioRomano,0.2268908,119,1,663577,master only (1),0.728486916,
ashwinravi99,0.2261905,168,1,9832795,master only (1),1.521560481,
FareedZakaria,0.2235294,255,1,966108,master only (1),0.809741053,
bipsluvurself,0.2227488,211,1,6490505,master only (1),0.132321261,
theresa_may,0.2222222,9,1,916275,master only (1),0,
udaykotak,0.2222222,18,1,1005268,master only (1),1.309053887,
BarringtonMole,0.2218247,559,1,946128,master only (1),1.482149294,
AprilDRyan,0.2218182,2750,1,633480,master only (1),0.677292018,
chetan_bhagat,0.2217659,487,1,12720653,master only (1),0.54874441,
DavidLammy,0.2213247,619,1,618787,master only (1),-0.743865184,
milinddeora,0.218638,279,1,1722331,master only (1),0.960998148,
ClayTravis,0.2185145,1858,1,677111,master only (1),1.23040844,
rithvik_RD,0.2173913,23,1,2792059,master only (1),0.382686085,
DavidMuir,0.2162162,37,1,769613,master only (1),0.708632232,
Quratulainb,0.2162162,74,1,528374,master only (1),0.1860449,
kylegriffin1,0.2153313,2596,1,748406,master only (1),-1.253569153,
andyroddick,0.214876,605,1,1512270,master only (1),0.884887488,
jiteshpillaai,0.2139535,215,1,721459,master only (1),-0.889484814,
AndleebAbbas,0.2136752,234,1,1184513,master only (1),0.697066528,
krishgm,0.2108108,555,1,596304,master only (1),0.745435778,
JP_LOKSATTA,0.2105263,76,1,975685,master only (1),0.169733221,
ShehryarAfridi1,0.2096774,124,1,508407,master only (1),0,
reidhoffman,0.2096774,186,1,537142,master only (1),-0.079363151,
rpsingh,0.2095238,210,1,1576887,master only (1),0.471228862,
MangteC,0.2093023,43,1,1440069,master only (1),0,
Madonna,0.2086957,115,1,2538170,master only (1),0,
AskAnshul,0.2086168,441,1,614115,master only (1),0.4687379,
russellhoward,0.2058824,102,1,1352220,master only (1),0,
Oprah,0.2027027,74,1,43191083,matched (3),-1.302074943,
GonzoTorpedo,0.2025317,79,1,620803,master only (1),-1.073253449,
MawraHocane,0.2022472,89,1,1814147,master only (1),-0.482066002,
swapan55,0.2016461,243,1,1181713,master only (1),1.15170137,
CKirubi,0.2012195,328,1,1409127,master only (1),0.768911668,
ConorMaynard,0.2,10,1,1832076,master only (1),0.133113298,
Rene,0.2,10,1,691144,master only (1),1.057981932,
chrisrock,0.2,15,1,5270947,master only (1),-0.84826135,
DAVIDprice24,0.2,15,1,1780708,master only (1),0.92635256,
NickiHunter,0.2,15,1,670032,master only (1),0.596688457,
solalexasch,0.2,15,1,699096,master only (1),0.300622292,
_juliannemoore,0.2,25,1,849488,master only (1),-1.631809354,
allarinaresh,0.2,35,1,1359183,master only (1),0.775412044,
Jemima_Khan,0.2,90,1,3098602,master only (1),-0.498691816,
FLOTUS,0.1983806,247,1,13841014,master only (1),1.223345392,
Zwelinzima1,0.197026,538,1,655005,master only (1),0.194256946,
khamenei_ir,0.1958333,240,1,687408,master only (1),0,
AnnCurry,0.1956522,92,1,1510193,master only (1),-0.23345291,
suchetadalal,0.1939322,1681,1,689780,master only (1),0.287136647,
Donsarigo,0.1929825,285,1,617776,master only (1),0.960902991,
hankypanty,0.1928571,140,1,2629293,master only (1),0.222771113,
SarahBrownUK,0.1928251,223,1,1057092,master only (1),-0.66818362,
EstherPassaris,0.1928105,2142,1,565844,master only (1),-0.174316791,
RonPaul,0.1927083,384,1,661689,master only (1),1.389441365,
kapoorkkunal,0.1923077,130,1,574414,master only (1),-2.321364125,
TawdeVinod,0.1914894,94,1,726619,master only (1),0,
marvi_memon,0.1900192,521,1,2020883,master only (1),0.574691699,
TVietor08,0.1899493,2169,1,503400,master only (1),0.38136393,
FloydShivambu,0.1884222,881,1,945838,master only (1),0.531957169,
FrontlineKamran,0.1882353,85,1,799164,master only (1),0,
JohnStossel,0.1875,256,1,1025245,master only (1),1.716237995,
mishacollins,0.1869565,230,1,2933553,master only (1),-0.07553957,
WillieGeist,0.1864979,1185,1,846200,master only (1),1.024824317,
KamalaHarris,0.1861472,693,1,3655880,master only (1),-1.628775547,
MHafeez22,0.1857143,140,1,2613425,master only (1),0,
JesseBWatters,0.1832797,311,1,1150669,master only (1),1.502452163,
Acosta,0.1828521,1143,1,1606413,master only (1),0.824129968,
n_izzah,0.1824324,296,1,1264281,master only (1),0.436491873,
ItsMePragya,0.1818182,110,1,699391,master only (1),0,
AllenWest,0.1816144,446,1,781196,master only (1),1.830271798,
ranveerbrar,0.1811414,403,1,1749109,master only (1),0.43730239,
MaddowBlog,0.1810207,1254,1,1080901,master only (1),0.733165977,
Mohanlal,0.1801802,111,1,5973408,master only (1),0.203797364,
johnallannamu,0.1794872,351,1,860883,master only (1),-0.656987622,
jimmycarr,0.1789474,190,1,6797356,master only (1),-0.511023003,
TheShilpaShetty,0.1788079,151,1,6014348,master only (1),1.081441455,
anupamachopra,0.1785714,196,1,1524896,master only (1),-0.628889081,
ChrisMurphyCT,0.1779816,1090,1,927578,master only (1),0.661818046,
andrewrsorkin,0.1771117,367,1,809174,master only (1),0.82152368,
prakashraaj,0.1764706,85,1,2439577,master only (1),0.049475788,
RachelZoe,0.1755725,131,1,3749819,master only (1),-0.54212113,
megcabot,0.1755319,188,1,696040,master only (1),0.465075658,
TulsiGabbard,0.1755102,245,1,818107,master only (1),0.266270622,
PhaedraParks,0.1754386,57,1,967477,master only (1),-1.772038891,
AlluSirish,0.175,80,1,1497700,master only (1),0,
hcmariwala,0.1748634,366,1,877284,master only (1),-0.283924169,
vishy64theking,0.1748252,143,1,549673,master only (1),0.42097814,
SpeakerPelosi,0.1738095,420,1,4318828,master only (1),-1.068619888,
Charlie_Carver,0.1728395,162,1,803847,master only (1),-1.855270466,
RajeevMasand,0.172619,168,1,1300618,master only (1),-0.479030534,
iSumanth,0.1724138,29,1,1189729,master only (1),0,
CalumWorthy,0.1724138,58,1,889695,master only (1),-0.899807354,
BarbraStreisand,0.171875,384,1,639884,master only (1),-0.560725463,
M_Raj03,0.1707317,123,1,720488,master only (1),0.016307987,
Paytm,0.1706081,592,1,815698,master only (1),0,
michaelpollan,0.1705882,340,1,557774,master only (1),-1.745321967,
iamamirofficial,0.1702128,94,1,2105313,master only (1),0,
Nandi_Madida,0.1696751,277,1,1179847,master only (1),0.505956536,
CMShehbaz,0.1696429,224,1,4922047,master only (1),0.501282579,
kriti_official,0.1692308,65,1,636517,master only (1),0.630082898,
DineshDSouza,0.1689158,2149,1,1525529,master only (1),1.62257863,
LindseyGrahamSC,0.168798,391,1,1648387,master only (1),1.533268031,
JimGaffigan,0.168357,493,1,2981588,master only (1),0.063370022,
JudgeJeanine,0.1677632,304,1,1981737,master only (1),1.420923713,
sharmilafaruqi,0.1671827,646,1,1207874,master only (1),0.48669361,
ChrisCuomo,0.1669954,1521,1,1785986,master only (1),1.225869834,
AlikoDangote,0.1666667,6,1,679139,master only (1),-0.039278687,
LeeChongWei,0.1666667,12,1,1070276,master only (1),0,
WarwickADavis,0.1666667,12,1,681418,master only (1),-0.374962622,
