account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
marissamayer,.1363636,22,1,1625400,master only (1)
AyannaPressley,.1361761,727,1,620460,master only (1)
taran_adarsh,.1361161,551,1,3771747,master only (1)
StellaMcCartney,.136,125,1,1024798,master only (1)
JohnDonvan,.1358025,81,1,1014269,master only (1)
kumailn,.1357143,280,1,2980896,master only (1)
fernemccann,.1355932,59,1,815833,master only (1)
michelleisawolf,.1355932,59,1,582705,master only (1)
varungandhi80,.1354167,96,1,1071968,master only (1)
AliBinAlHussein,.1351351,74,1,891664,master only (1)
ariannahuff,.1350649,1155,1,2947443,master only (1)
KatiePavlich,.1347584,1076,1,765275,master only (1)
Javedakhtarjadu,.1347518,141,1,4499635,master only (1)
ViratGang,.134715,193,1,615850,master only (1)
BabyCenter,.1345646,379,1,645994,master only (1)
fayedsouza,.1341302,753,1,942508,master only (1)
vgunvalson,.1338583,127,1,722713,master only (1)
LalitKModi,.1333333,30,1,4005335,master only (1)
YO_RANDYJACKSON,.1333333,30,1,526618,master only (1)
nikkigalrani,.1333333,45,1,647111,master only (1)
kellyoxford,.1319797,197,1,865287,master only (1)
bubblesparaiso,.131579,38,1,521562,master only (1)
clarebalding,.131579,152,1,708343,master only (1)
amyklobuchar,.1310943,923,1,1046689,master only (1)
pattistanger,.1310241,664,1,501917,master only (1)
WendyWilliams,.1305483,383,1,1522619,master only (1)
DritaDavanzo,.1304348,92,1,549832,master only (1)
steveyeun,.1304348,23,1,1516493,master only (1)
wfaa,.130363,2424,1,574162,master only (1)
SteveKerr,.1296703,455,1,561831,master only (1)
KeeganAllen,.1290323,124,1,1900779,master only (1)
DaveVescio,.1284047,514,1,557072,master only (1)
DonaldBKipkorir,.1281619,593,1,765025,master only (1)
therealrussellp,.1271186,118,1,4091416,master only (1)
Charlottegshore,.1270718,181,1,3049845,master only (1)
AsaAkira,.1269841,126,1,804628,master only (1)
SenBlumenthal,.1268939,528,1,649067,master only (1)
GayleKing,.1267606,71,1,1036885,master only (1)
iVishnuManchu,.1267606,71,1,611311,master only (1)
lizasoberano,.1264368,174,1,3764845,master only (1)
humasqureshi,.1263158,95,1,3468534,master only (1)
realGpad,.1263158,95,1,729334,master only (1)
jimmykimmel,.1261682,214,1,11730225,master only (1)
leannrimes,.1258741,143,1,512321,master only (1)
konkonas,.1254355,287,1,2352632,master only (1)
ArifAlvi,.125,368,1,2587545,master only (1)
BillyCrystal,.125,248,1,655635,master only (1)
CelesteBonin,.125,8,1,822615,master only (1)
FarOutAkhtar,.125,56,1,12353434,master only (1)
ScottDisick,.125,16,1,6852143,master only (1)
danielhowell,.125,16,1,8331294,master only (1)
rameshsrivats,.125,184,1,4236585,master only (1)
kandeejohnson,.1230769,130,1,762748,master only (1)
DanCrenshawTX,.1228669,293,1,887404,master only (1)
megynkelly,.1221719,221,1,2442993,master only (1)
virendersehwag,.1219512,82,1,20295748,master only (1)
punitgoenka,.1216216,74,1,1173733,master only (1)
GOPChairwoman,.1215017,1465,1,646566,master only (1)
w_terrence,.1211226,677,1,888147,master only (1)
designsponge,.1203704,108,1,540154,master only (1)
priyankachopra,.1203704,108,1,25625122,matched (3)
RepMattGaetz,.1201158,691,1,751953,master only (1)
HowardStern,.12,25,1,1634346,master only (1)
ashabhosle,.12,25,1,4889309,master only (1)
jenwinget,.12,25,1,1924742,master only (1)
LanaParrilla,.1197917,192,1,730916,master only (1)
timkaine,.1197183,142,1,988955,master only (1)
cocosworld,.1195652,92,1,1088860,master only (1)
benlandis,.119469,678,1,3301143,master only (1)
itsKajolD,.119403,67,1,2816362,master only (1)
kevinrose,.1192661,109,1,1610859,master only (1)
torylanez,.1190476,210,1,1849223,master only (1)
JaneGoodallInst,.1189516,496,1,1501951,master only (1)
JodiStaMaria,.1182796,186,1,3128878,master only (1)
LeighFrancis,.1176471,34,1,2963170,master only (1)
fatbellybella,.1176471,306,1,2638123,master only (1)
repjohnlewis,.1176471,17,1,1157709,master only (1)
ahmedpatel,.1172414,145,1,946534,master only (1)
TheRealBuzz,.1170213,188,1,1505451,master only (1)
JamesOKeefeIII,.1168831,770,1,722349,master only (1)
aantonop,.1167228,891,1,510679,master only (1)
DennisDMZ,.1164384,146,1,761376,master only (1)
cocorocha,.1164384,146,1,1603796,master only (1)
skmusyoka,.1162791,43,1,866535,master only (1)
SenGillibrand,.116129,310,1,1517265,master only (1)
cuppymusic,.116,250,1,1451477,master only (1)
AnilRavipudi,.115942,69,1,1053590,master only (1)
darey,.115942,276,1,682107,master only (1)
charliekirk11,.1158349,1623,1,1761733,master only (1)
Mark_Sheppard,.1156702,2559,1,1216315,master only (1)
Trevornoah,.1156463,147,1,10622507,master only (1)
MahelaJay,.1148649,148,1,1134241,master only (1)
SaranshGoila,.1142857,70,1,697668,master only (1)
SenatorCollins,.1142857,245,1,550397,master only (1)
iamsrk,.113924,79,1,39867470,matched (3)
rogerkver,.1132075,106,1,596558,master only (1)
jamesmaslow,.1129032,62,1,3047268,master only (1)
MmusiMaimane,.1125828,604,1,1406361,master only (1)
PaulHollywood,.1121495,214,1,521410,master only (1)
Lawrence,.1121233,1427,1,2701769,master only (1)
xBrooklynBluex,.1119473,1063,1,1045820,master only (1)
nikhilchinapa,.1119324,947,1,2039419,master only (1)
KatieHeigl,.1111111,36,1,1283210,master only (1)
Lilpeep,.1111111,9,1,623991,master only (1)
SallyQYates,.1111111,9,1,834521,master only (1)
Saqlain_Mushtaq,.1111111,45,1,1160661,master only (1)
Theresacaputo,.1111111,36,1,789634,master only (1)
chucktodd,.1111111,36,1,2065807,master only (1)
edhelms,.1111111,63,1,1121499,master only (1)
Ilhan,.1104295,489,1,693582,master only (1)
HillaryClinton,.1102041,245,1,27725470,matched (3)
ferrifrump,.1100629,318,1,644369,master only (1)
charltonbrooker,.11,100,1,1246264,master only (1)
akshaykumar,.1098901,91,1,32774187,matched (3)
BetoORourke,.1098266,173,1,1658239,master only (1)
CoryBooker,.1096257,374,1,4494125,master only (1)
lala,.109589,146,1,4695168,master only (1)
Pvsindhu1,.109375,128,1,2872289,master only (1)
kurt13warner,.109375,128,1,601157,master only (1)
BillieJeanKing,.1088083,386,1,507646,master only (1)
alroker,.1088083,193,1,2516987,master only (1)
carlbildt,.1078125,640,1,671708,master only (1)
simonhelberg,.1075,400,1,855969,master only (1)
thomasmlambo,.1068376,234,1,605217,master only (1)
fbhutto,.1065574,122,1,2533872,master only (1)
ReggieMillerTNT,.1064815,216,1,820922,master only (1)
stephenfry,.1062271,273,1,12754596,master only (1)
SkySports,.1060662,2687,1,5357875,master only (1)
JoshDevineDrums,.1060606,66,1,3325241,master only (1)
TomiLahren,.1060329,547,1,1608838,master only (1)
Maisie_Williams,.1052632,19,1,2858679,master only (1)
ShawnMendes,.1052632,19,1,24174757,matched (3)
MarkRuffalo,.1051136,352,1,6617875,master only (1)
MsKajalAggarwal,.1047619,210,1,3515805,master only (1)
Astro_Alex,.1046512,86,1,1263948,master only (1)
