account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
NikkiHaley,0.0807799,718,0.9333333,638853,master only (1)
dougulman,0.0695876,388,0.9333333,917130,master only (1)
ColleenB123,0.0541516,277,0.9333333,1897182,master only (1)
meghanrienks,0.0528351,776,0.9333333,575171,master only (1)
hwinkler4real,0.0306947,619,0.9333333,682260,master only (1)
RSherman_25,0.0265957,188,0.9333333,2137510,master only (1)
trixiemattel,0.0231533,907,0.9333333,703741,master only (1)
DuvalMagic,0.0161725,371,0.9333333,758243,master only (1)
AriTheDon,0.009122,877,0.9333333,610329,master only (1)
aydan,0.0051813,386,0.9333333,514167,master only (1)
RealMickFoley,,,0.9333333,1872983,master only (1)
TeamPelosi,,,0.9333333,510605,master only (1)
anildash,0.0712144,1334,0.9326923,599742,master only (1)
BenjaminEnfield,0.001773,2256,0.9326923,1136172,master only (1)
hitRECordJoe,0.0468278,662,0.9319728,4211830,master only (1)
funder,0.1110451,1684,0.9316547,676726,master only (1)
susannareid100,0.2229337,1718,0.9310345,738744,master only (1)
Hollyoaks,0.0039526,2024,0.9310345,510058,master only (1)
ScottPresler,0,116,0.9310345,598159,master only (1)
BreeOlson,0,144,0.9310345,1282247,master only (1)
MelDMann,,,0.9310345,585108,master only (1)
jameelajamil,0.0456731,832,0.9302326,1115233,master only (1)
johncusack,0.0517073,1025,0.930131,1664401,master only (1)
waltshaub,,,0.9296875,516578,master only (1)
drjoyce_knudsen,0.0349453,2833,0.9294118,728620,master only (1)
derekobrienmp,0.3354364,951,0.9285714,1217334,master only (1)
NadeemfParacha,0.2416667,240,0.9285714,604024,master only (1)
ImRaina,0.235023,434,0.9285714,17392700,master only (1)
lindaikeji,0.2123419,2609,0.9285714,1942429,master only (1)
altonbrown,0.1636364,55,0.9285714,4539282,master only (1)
thekiranbedi,0.1608877,721,0.9285714,12314530,master only (1)
theJeremyVine,0.1420888,2231,0.9285714,750856,master only (1)
zachbraff,0.1257253,517,0.9285714,2022085,master only (1)
ALIBABAGCFR,0.1197917,576,0.9285714,855909,master only (1)
AriMelber,0.1153846,494,0.9285714,667838,master only (1)
