account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
TamraBarney,0.0733945,109,1,885377,master only (1)
ATL_Events,0.0732422,1024,1,693042,master only (1)
normmacdonald,0.0731707,123,1,1086228,master only (1)
chanelwestcoast,0.0729167,192,1,825784,master only (1)
JoeSantagato,0.0729167,192,1,689127,master only (1)
antoniiogarza21,0.0727273,110,1,1098116,master only (1)
RickeySmiley,0.0726073,606,1,1554276,master only (1)
ddale8,0.0722611,2574,1,791919,master only (1)
the_ironsheik,0.0722222,180,1,515013,master only (1)
itsmeabir,0.0722022,277,1,1079608,master only (1)
LaurenGiraldo,0.072,125,1,649324,master only (1)
VishalDadlani,0.0719312,1279,1,2999079,master only (1)
ZAbbasOfficial,0.0718954,306,1,1723229,master only (1)
austinkeller,0.0714286,14,1,550999,master only (1)
SamiSlimani,0.0714286,14,1,879595,master only (1)
NickSwisher,0.0714286,28,1,1494234,master only (1)
sidmallya,0.0714286,28,1,790471,master only (1)
BibopGGresta,0.0714286,42,1,569087,master only (1)
idinamenzel,0.0714286,70,1,694755,master only (1)
MichaelBuble,0.0714286,98,1,2288731,master only (1)
AudiIN,0.0714286,154,1,899745,master only (1)
VickyPattison,0.0711864,295,1,1995336,master only (1)
nytfood,0.0708661,508,1,1408932,master only (1)
fkeyamo,0.0706522,184,1,539900,master only (1)
wroetoshaw,0.0705882,85,1,3113111,master only (1)
peoplestyle,0.0705716,1417,1,931891,master only (1)
ik_osakioduwa,0.0704225,71,1,619265,master only (1)
Schwarzenegger,0.0703125,128,1,4651849,master only (1)
shrutihaasan,0.0703125,256,1,7591068,master only (1)
voguemagazine,0.0702247,2848,1,13795887,master only (1)
jan_iyer,0.0700637,157,1,971243,master only (1)
Kimzolciak,0.0700389,257,1,1074603,master only (1)
JanelParrish,0.07,100,1,1379626,master only (1)
johnlegend,0.07,400,1,13482192,master only (1)
MichaelVaughan,0.0698603,501,1,1211973,master only (1)
fodorstravel,0.0698324,716,1,1119487,master only (1)
Bugatti,0.0697674,43,1,582559,master only (1)
JLin7,0.0697674,43,1,2506043,master only (1)
mametown,0.0697674,86,1,587480,master only (1)
PrabhasRaju,0.0697674,86,1,1513489,master only (1)
RealMelina,0.0697674,172,1,686091,master only (1)
MMFlint,0.069697,330,1,6106543,master only (1)
BlackBerry,0.0696864,574,1,4222075,master only (1)
DeptVetAffairs,0.0696133,905,1,639930,master only (1)
tomcolicchio,0.0696014,1681,1,932330,master only (1)
mindykaling,0.0695652,230,1,11873154,master only (1)
sanjaymanjrekar,0.0694444,216,1,3175476,master only (1)
BobbyCNorris,0.0691489,188,1,732901,master only (1)
PEOPLEPets,0.0690423,449,1,870957,master only (1)
DalaiLama,0.0689655,29,1,19342915,master only (1)
LilKim,0.0689655,29,1,2233882,master only (1)
lilduval,0.0688073,872,1,861586,master only (1)
mPinoe,0.06875,160,1,909799,master only (1)
gucci,0.0686813,364,1,5897490,master only (1)
juLiusbabao,0.0686275,102,1,1243953,master only (1)
NSAGov,0.068323,161,1,713323,master only (1)
RealJamesWoods,0.0682005,2434,1,2395521,master only (1)
TylerFlorence,0.0680359,779,1,684156,master only (1)
MichaelDell,0.0679612,103,1,665759,master only (1)
TechCrunch,0.067809,2743,1,10144780,master only (1)
FredMatiangi,0.0677966,59,1,651438,master only (1)
shaunwhite,0.0677966,59,1,1705304,master only (1)
MissJessWright_,0.0677966,118,1,1444977,master only (1)
AnnTran_,0.0677966,177,1,542286,master only (1)
realrossnoble,0.0676692,133,1,845685,master only (1)
TobyTurner,0.0675676,148,1,1035398,master only (1)
ColinHanks,0.0674847,326,1,564181,master only (1)
DaneCook,0.0674419,430,1,3006629,master only (1)
AirAsia,0.0671141,149,1,3307485,master only (1)
AspynOvard,0.0666667,15,1,701022,master only (1)
cammipham,0.0666667,15,1,1049125,master only (1)
isro,0.0666667,15,1,3390696,master only (1)
AlfieDeyes,0.0666667,45,1,5258825,master only (1)
PReina25,0.0666667,45,1,1314286,master only (1)
iambohemia,0.0666667,60,1,2963138,master only (1)
sama,0.0666667,60,1,708894,master only (1)
HarryMaguire93,0.0666667,75,1,705932,master only (1)
IChitrangda,0.0666667,135,1,1100491,master only (1)
ollielocke,0.0666667,165,1,611529,master only (1)
iamstephbeatz,0.0666667,450,1,645864,master only (1)
SPACEdotcom,0.0666667,1215,1,782636,master only (1)
iamcolinquinn,0.0664063,256,1,541184,master only (1)
LaraDutta,0.0663507,211,1,3272777,master only (1)
katienolan,0.0662461,317,1,574982,master only (1)
professorgreen,0.0661765,136,1,1857263,master only (1)
ChrisMoyles,0.0658683,167,1,3698979,master only (1)
eyemagazine,0.0656566,198,1,703945,master only (1)
joegorga,0.0655738,122,1,533310,master only (1)
JKCorden,0.0655022,229,1,10756905,master only (1)
ChristinaMilian,0.0652174,46,1,1503107,master only (1)
SamanthaFaiers,0.0652174,46,1,1164163,master only (1)
subhashchandra,0.0652174,46,1,1391988,master only (1)
Airbnb,0.0652174,92,1,723033,master only (1)
SherriEShepherd,0.0652174,138,1,770467,master only (1)
Microsoft,0.0650759,461,1,8938740,master only (1)
BT21_,0.0650406,123,1,5589435,master only (1)
rainnwilson,0.0648148,216,1,4481752,master only (1)
wesleystromberg,0.0647482,139,1,609912,master only (1)
MichaelAusiello,0.0646789,2180,1,1056613,master only (1)
RitaOra,0.0646766,201,1,6834321,master only (1)
sakpataudi,0.0645161,31,1,2144110,master only (1)
Shafqat_Mahmood,0.0645161,186,1,1277068,master only (1)
DiscoverMag,0.0643169,2752,1,1187388,master only (1)
CNNweather,0.0642202,109,1,1950717,master only (1)
Jack_Septic_Eye,0.0641711,187,1,5958517,master only (1)
WayneRooney,0.0641026,78,1,17172132,master only (1)
RoyalFamily,0.0640394,406,1,4259173,master only (1)
tferriss,0.0639585,1157,1,1672325,master only (1)
GolfDigest,0.0639471,2721,1,860737,master only (1)
Fearnecotton,0.0638298,47,1,7018316,master only (1)
iamgreenfield,0.0638298,47,1,530855,master only (1)
DJBDonna,0.0638298,94,1,938189,master only (1)
pragyanojha,0.0638298,141,1,1753795,master only (1)
preschoolers,0.0638298,141,1,1007205,master only (1)
KAYAK,0.0635838,173,1,767406,master only (1)
TessaBrooks,0.0634921,63,1,1036058,master only (1)
aparnapkin,0.0634146,205,1,584016,master only (1)
Joey7Barton,0.0634006,347,1,3053682,master only (1)
thesulk,0.0633803,142,1,564448,master only (1)
tomsegura,0.0633803,284,1,515586,master only (1)
ManilaConyos,0.0632911,79,1,704541,master only (1)
thedriverera,0.0632911,79,1,1409358,master only (1)
milanmiracle,0.0632911,158,1,1094442,master only (1)
LeahMesser,0.0630631,111,1,1410774,master only (1)
TichinaArnold,0.0630137,365,1,666749,master only (1)
SamGolbach,0.0628931,159,1,792695,master only (1)
ParliamentofRSA,0.0625798,783,1,658410,master only (1)
